accession_id,latitude,longitude,descriptor,observation_value,is_nominal
PI 358124,41.33333333,21.55,FLCON,10,true
PI 358125,42.08333333,22.18333333,FLCON,10,true
PI 358127,42.01666667,20.96666667,FLCON,10,true
PI 358128,41.11666667,20.78333333,FLCON,10,true
PI 358129,42.08333333,22.18333333,FLCON,10,true
PI 358130,42.2,22.33333333,FLCON,10,true
PI 358131,42.2,22.33333333,FLCON,10,true
PI 358132,42.13333333,21.71666667,FLCON,10,true
PI 358133,42.13333333,21.71666667,FLCON,10,true
PI 358147,42.01666667,20.96666667,FLCON,10,true
